project,website,public_contact_channel,category,what_they_sell,likely_revenue_events,likely_cost_events,why_ailabra_fits,suggested_first_integration,personalized_opening,priority,status,notes
x402 API MCP Server,https://www.npmjs.com/package/@x402-api/mcp-server,https://www.npmjs.com/package/@x402-api/mcp-server,paid MCP client,"MCP access to x402 APIs","package/service monetization if present","paid downstream APIs, wallet gas, maintenance","Buyer receipts are direct experiment costs","Wrap one auto-pay workflow with economic event tracking","Your MCP server already supports inspect and auto-pay modes; Ailabra's receipt adapter could record settled downstream purchases without recording failed or unsigned calls.",A,not_contacted,"Use npm repository/issues link from package metadata"
P402,https://p402.io,https://p402.io,agent commerce platform,"Agent commerce infrastructure and services","platform and API fees","payments, identity, orchestration, infrastructure","Multi-agent economics need venture/experiment attribution","Track one agent service launch by revenue and operating cost","P402 positions itself as an operating layer for agent commerce; Ailabra could supply the deterministic profit feedback loop for one launched agent service.",A,not_contacted,"Public site contact"
Virtuals Protocol,https://www.virtuals.io,https://github.com/Virtual-Protocol,agent platform,"AI agent creation and coordination","agent service and protocol revenue","model, orchestration, chain, acquisition costs","Agent and venture IDs align with platform entities","Evaluate one agent venture over seven days","Virtuals coordinates agents with onchain activity; Ailabra could separate operating contribution from funding, token, and wallet movements for one agent venture.",A,not_contacted,"Official Base agents page participant"
Cloudflare Agents,https://developers.cloudflare.com/agents/,https://github.com/cloudflare/workers-sdk,agent infrastructure,"Workers and paid MCP/x402 tooling","customer usage and paid tool settlements","Workers compute, AI inference, storage","Paid tools need per-tool cost attribution","Instrument one paidTool example with receipt and compute events","Cloudflare now documents paid MCP tools with x402; Ailabra could demonstrate whether a paid Worker tool clears Workers AI and execution costs.",A,not_contacted,"Official docs/GitHub contact"
Base AgentKit,https://github.com/coinbase/agentkit,https://github.com/coinbase/agentkit/discussions,agent framework,"Agent wallet and onchain action tooling","partner/service revenue where deployed","LLM, API, wallet, chain fees","AgentKit actions already produce attributable costs and receipts","Add a Profit Loop example to one x402-enabled agent","AgentKit makes onchain actions accessible to agents; Ailabra could turn those action receipts and offchain model costs into a deterministic operating score.",A,not_contacted,"Public GitHub discussion"
Vercel,https://vercel.com,https://vercel.com/contact,serverless agent infrastructure,"Hosting and AI application infrastructure","usage and platform revenue","functions, AI inference, bandwidth","x402 seller functions need cost versus price analysis","Instrument one x402 serverless function","Vercel supports x402 in serverless and MCP workflows; Ailabra could compare per-call price with function, inference, and bandwidth cost for one deployment.",B,not_contacted,"Official x402 ecosystem participant"
The Graph,https://thegraph.com,https://github.com/graphprotocol,web3 data infrastructure,"Indexed blockchain data and agent payment infrastructure","query and platform revenue","indexing rewards, data, compute","Query economics and ampersend payments are measurable","Track one paid query product","The Graph's data and agent-payment work creates both query revenue and indexing costs; Ailabra could reconcile one product's contribution by currency.",B,not_contacted,"Public GitHub organization"
Glama,https://glama.ai,https://glama.ai/mcp/servers,MCP directory and hosting,"MCP hosting and distribution","hosting subscriptions and marketplace usage","builds, scanning, hosting, support","Directory/hosting products have measurable service margins","Track one hosted MCP cohort","Glama continuously builds and indexes MCP servers; Ailabra could attribute hosting and scan costs against one hosted connector cohort.",B,not_contacted,"Add Server requires GitHub authorization"
Smithery,https://smithery.ai,https://github.com/smithery-ai,MCP marketplace and hosting,"MCP distribution, gateway, hosting","hosted service and gateway revenue","hosting, auth, observability, support","Tool-level economic events can map to servers","Evaluate one external paid MCP integration","Smithery tracks tool and gateway activity; Ailabra could add deterministic contribution by server without treating aggregate calls as profit.",B,not_contacted,"Public GitHub contact"
Browserbase,https://www.browserbase.com,https://www.browserbase.com/contact,agent browser API,"Cloud browsers and agent automation","metered browser sessions","browser compute, proxies, storage","Session revenue and costs are attributable","Track one agent automation venture","Browserbase sessions have clear metered revenue and browser/proxy costs; Ailabra could report contribution per workflow experiment.",B,not_contacted,"Public contact form"
Exa,https://exa.ai,https://exa.ai/contact,paid search API,"Search and research APIs for agents","API request revenue","indexing, models, crawling, compute","Research agents need search cost attribution","Map a research-brief workflow","Exa is often a direct cost inside paid research agents; Ailabra could help a builder attribute search spend to the briefs and experiments that generated revenue.",B,not_contacted,"Public contact"
Tavily,https://tavily.com,https://tavily.com/contact,paid search API,"Search and extraction for agents","API subscription/usage revenue","search infrastructure, crawling, models","Both provider and buyer sides fit event adapters","Pilot a customer workflow with request IDs","Tavily gives agents metered search; Ailabra could connect provider usage receipts to customer revenue and show workflow contribution.",B,not_contacted,"Public contact"
Firecrawl,https://firecrawl.dev,https://github.com/mendableai/firecrawl,data API,"Crawling and extraction APIs","API usage and subscription revenue","browser/crawl compute, proxies, models","High variable costs make experiment economics useful","Track one paid extraction endpoint","Firecrawl's crawl and extraction jobs have strong request-level revenue and proxy/compute costs—good inputs for deterministic unit contribution.",B,not_contacted,"Public GitHub issues/discussions"
Dappier,https://dappier.com,https://dappier.com/contact,paid agent data,"Real-time data and monetization for AI","data/API revenue","publisher payouts, data, inference, infrastructure","Revenue share and data costs need explicit attribution","Map one data product venture","Dappier monetizes agent-ready data while paying for content and infrastructure; Ailabra could reconcile one data product without mixing nominal currencies.",B,not_contacted,"Public contact"
Composio,https://composio.dev,https://github.com/ComposioHQ/composio,agent integration platform,"Agent tools and managed integrations","platform usage revenue","connector operations, auth, infrastructure, support","Tool and customer attribution align with event schema","Evaluate one connector cohort","Composio operates many agent tools; Ailabra could compare revenue and connector-specific operating cost for one integration cohort.",B,not_contacted,"Public GitHub contact"
LangChain,https://www.langchain.com,https://github.com/langchain-ai/langchain,agent framework and platform,"LangSmith and agent platform services","platform subscriptions and usage","model calls, tracing, infrastructure","Profit could become an evaluation signal","Prototype profit contribution as a LangGraph evaluation output","LangGraph evaluates agent behavior, but builders still need an economic outcome signal; Ailabra could provide deterministic venture and experiment contribution.",C,not_contacted,"Strategic ecosystem integration"
CrewAI,https://www.crewai.com,https://github.com/crewAIInc/crewAI,multi-agent platform,"Enterprise multi-agent orchestration","platform and services revenue","model/API calls, orchestration, hosting","Agent IDs map naturally to spend attribution","Add a multi-agent cost/revenue example","CrewAI coordinates specialized agents; Ailabra could show which crew or experiment creates positive contribution after model and tool costs.",C,not_contacted,"Public GitHub contact"
Microsoft AutoGen,https://microsoft.github.io/autogen/,https://github.com/microsoft/autogen,agent framework,"Open-source framework with enterprise ecosystem","downstream application revenue","model, tool, hosting costs","Economic evaluation complements quality evaluation","Publish an external evaluation adapter example","AutoGen users can measure task quality and traces; Ailabra could add deterministic economic evaluation for revenue-producing agent workflows.",C,not_contacted,"Public GitHub issues/discussions"
OpenAI Agents SDK,https://openai.github.io/openai-agents-js/,https://github.com/openai/openai-agents-js,agent SDK,"Agent orchestration SDK and related platform usage","downstream builder revenue","model usage, tools, hosting","Generic LLM adapter can map caller-supplied costs","Document a Profit Loop integration pattern","Agents SDK traces execution, while Ailabra could let builders attach model and tool costs to revenue events without using an LLM to compute profit.",C,not_contacted,"Public GitHub contact; no endorsement implied"
Coinbase Developer Platform,https://docs.cdp.coinbase.com,https://github.com/coinbase/x402,agent payment infrastructure,"x402 facilitation and developer infrastructure","platform/facilitator economics","chain operations, infrastructure, support","Protocol ecosystem benefits from seller profitability examples","Contribute a receipt-to-profit integration example","CDP and x402 make settlements machine-readable; Ailabra demonstrates the next operational step—turning seller and buyer receipts into honest agent profit.",C,not_contacted,"Strategic protocol-level fit"
